#{"t_start": 1619967496.3454528, "env_id": null}
r,l,t
-4,1000,2145.32463
0,1000,2149.745899
0,1000,2153.147934
-1,1000,2158.267034
-1,1000,2161.968594
-1,1000,2166.415458
-2,1000,2169.809534
-3,1000,2174.236181
-4,1000,2177.579406
-2,1000,2182.016359
-1,1000,2185.384017
-1,1000,2189.950922
-1,1000,2193.524765
-1,1000,2198.015156
-2,1000,2201.402575
-3,1000,2205.857572
0,1000,2209.230861
-1,1000,2213.667076
-3,1000,2217.030612
-3,1000,2221.676256
-1,1000,2225.094162
-1,1000,2229.58671
-2,1000,2232.96591
-3,1000,2237.420223
-3,1000,2240.803607
-3,1000,2245.221153
-1,1000,2248.690792
-1,1000,2253.4056
-5,1000,2257.103538
-2,1000,2261.622257
-2,1000,2265.07596
0,1000,2269.509783
-3,1000,2273.084035
-2,1000,2276.755575
-3,1000,2281.514334
-1,1000,2284.86853
-1,1000,2289.371634
-3,1000,2292.834186
-3,1000,2297.475334
-1,1000,2300.880072
-2,1000,2305.278415
-3,1000,2308.68145
-2,1000,2313.34811
-4,1000,2316.741908
-5,1000,2321.107777
-2,1000,2324.514034
-1,1000,2328.934354
-1,1000,2332.295443
0,1000,2336.717651
-2,1000,2340.283686
-5,1000,2344.883686
-3,1000,2348.281255
-3,1000,2352.746892
-1,1000,2356.100715
0,1000,2360.558686
-3,1000,2363.96204
-1,1000,2368.415435
-2,1000,2372.098679
-4,1000,2376.522874
-3,1000,2379.902016
-3,1000,2384.347775
-2,1000,2387.741093
-2,1000,2392.332853
-2,1000,2395.757415
-4,1000,2400.364231
-1,1000,2403.816997
-1,1000,2408.249158
-1,1000,2411.664972
-5,1000,2416.073407
-1,1000,2419.496061
-1,1000,2423.980074
-3,1000,2427.447064
-3,1000,2432.148672
-2,1000,2435.510167
-2,1000,2439.954822
-2,1000,2443.388491
-2,1000,2446.784887
-2,1000,2451.297678
-2,1000,2454.646796
-1,1000,2459.316128
-4,1000,2463.427707
-2,1000,2468.665323
-2,1000,2473.015237
-3,1000,2478.139179
-2,1000,2482.121827
-3,1000,2487.156765
-3,1000,2491.290236
-1,1000,2496.296987
-1,1000,2500.368646
-3,1000,2505.434681
-2,1000,2509.327404
-3,1000,2514.381872
-1,1000,2518.294039
-3,1000,2523.550975
-2,1000,2527.529787
-1,1000,2532.57488
-4,1000,2536.438649
-3,1000,2541.465864
-1,1000,2545.338492
-1,1000,2550.482792
-1,1000,2554.534869
-3,1000,2559.751386
-2,1000,2563.773483
-1,1000,2568.890649
-2,1000,2572.859024
-1,1000,2577.887685
-2,1000,2582.02763
-2,1000,2587.07845
-3,1000,2590.993564
0,1000,2596.033664
-5,1000,2599.963235
-2,1000,2604.957867
-2,1000,2608.849755
-1,1000,2614.044769
-2,1000,2617.989902
-3,1000,2622.894089
-4,1000,2626.801492
-2,1000,2631.819502
-2,1000,2635.712749
0,1000,2639.622736
-2,1000,2644.726257
0,1000,2648.638271
-1,1000,2653.68085
0,1000,2657.57374
-4,1000,2662.577851
-5,1000,2666.490253
-2,1000,2671.616434
0,1000,2675.566068
-4,1000,2680.541787
-1,1000,2684.462746
-1,1000,2689.459527
-4,1000,2693.368541
-3,1000,2698.35664
-2,1000,2702.439639
-1,1000,2707.424275
-2,1000,2711.335618
0,1000,2716.342
-3,1000,2720.291596
-2,1000,2725.275862
-3,1000,2729.211105
-3,1000,2734.391392
-2,1000,2738.275896
-4,1000,2743.253592
-2,1000,2747.194827
-1,1000,2752.173574
-3,1000,2756.063151
-3,1000,2761.150066
-1,1000,2765.584683
-3,1000,2770.985248
0,1000,2774.8698
-4,1000,2779.894984
-2,1000,2783.776553
-2,1000,2788.762585
-1,1000,2792.902129
-4,1000,2797.851052
-3,1000,2801.770024
-3,1000,2806.818074
-4,1000,2810.709032
-3,1000,2815.695818
-4,1000,2819.678921
-4,1000,2824.729986
-3,1000,2828.644279
-3,1000,2832.534295
-2,1000,2837.464883
-5,1000,2841.385144
-1,1000,2846.49265
-1,1000,2850.520305
-3,1000,2855.748437
-4,1000,2859.885011
-5,1000,2864.885775
-4,1000,2868.766808
-2,1000,2873.934175
-4,1000,2877.7862
-1,1000,2883.055093
-3,1000,2886.962645
-2,1000,2892.029004
-2,1000,2895.934703
-2,1000,2900.933365
-1,1000,2904.865781
-5,1000,2909.88558
-2,1000,2914.004473
-5,1000,2919.371497
-2,1000,2923.454309
-3,1000,2928.558538
-1,1000,2932.573649
-3,1000,2937.523733
-1,1000,2941.645432
-1,1000,2946.700485
-1,1000,2950.665694
-2,1000,2955.641311
-2,1000,2959.556619
-2,1000,2964.606168
-1,1000,2968.554811
-1,1000,2973.703843
-1,1000,2977.658681
-1,1000,2982.640908
-3,1000,2986.587593
-2,1000,2991.583813
-2,1000,2995.520776
0,1000,3000.637362
-3,1000,3004.642748
-1,1000,3009.598197
-3,1000,3013.49156
-3,1000,3018.51602
-3,1000,3022.431161
-2,1000,3026.353489
-1,1000,3031.570857
-4,1000,3035.504792
-4,1000,3040.550239
-2,1000,3044.669199
0,1000,3049.69832
-2,1000,3053.673247
-2,1000,3058.580381
-4,1000,3062.670571
-1,1000,3067.690237
-2,1000,3072.424007
0,1000,3077.627057
-1,1000,3081.519526
-3,1000,3086.568619
-2,1000,3090.563488
-2,1000,3095.660539
-2,1000,3099.659929
-1,1000,3104.814149
0,1000,3108.772371
-2,1000,3113.723718
-1,1000,3117.61951
-1,1000,3122.795204
0,1000,3126.711682
-4,1000,3131.693688
-2,1000,3135.65052
-3,1000,3140.690097
0,1000,3144.696515
0,1000,3149.756438
-2,1000,3153.758612
-2,1000,3158.985861
-3,1000,3162.911194
-1,1000,3167.915305
-2,1000,3171.825514
-3,1000,3176.912773
-2,1000,3180.941342
-2,1000,3185.921795
-3,1000,3189.812185
-1,1000,3194.936685
-1,1000,3198.890072
-2,1000,3204.033796
-1,1000,3207.969446
-4,1000,3212.0182
-2,1000,3217.011341
0,1000,3220.938765
-2,1000,3225.948979
-2,1000,3229.851206
-1,1000,3235.01089
-2,1000,3238.885626
-1,1000,3244.081313
0,1000,3248.02092
-3,1000,3253.006252
-1,1000,3256.930661
-1,1000,3261.956549
-2,1000,3265.870661
0,1000,3271.128294
-2,1000,3275.097555
-3,1000,3280.11149
0,1000,3284.015466
-4,1000,3288.984854
-1,1000,3293.007457
-1,1000,3298.054346
-4,1000,3302.120895
-3,1000,3307.110675
-5,1000,3311.050428
-2,1000,3316.047754
-4,1000,3319.955678
-4,1000,3324.938257
-2,1000,3328.834481
-1,1000,3333.988512
0,1000,3337.927899
-1,1000,3342.913083
-3,1000,3346.820777
-4,1000,3351.810746
-2,1000,3355.701573
-4,1000,3360.845957
-1,1000,3364.874757
0,1000,3369.926009
-4,1000,3374.002751
-5,1000,3379.863596
-2,1000,3383.776443
-1,1000,3388.845489
0,1000,3393.038128
-2,1000,3397.968611
-4,1000,3401.866179
-2,1000,3405.765463
-2,1000,3410.824001
-4,1000,3414.693245
-2,1000,3419.720163
-4,1000,3423.795442
-3,1000,3428.800476
-3,1000,3432.72935
0,1000,3437.725187
-3,1000,3441.606405
-2,1000,3446.5554
-2,1000,3450.625644
-3,1000,3455.86766
-2,1000,3459.956724
-1,1000,3464.9881
-5,1000,3468.918659
-3,1000,3474.107544
-3,1000,3478.37349
-3,1000,3483.639145
-2,1000,3487.629024
-4,1000,3492.682799
-2,1000,3496.781659
-3,1000,3501.812744
-4,1000,3505.783844
-3,1000,3511.744274
-1,1000,3515.531563
-1,1000,3520.502125
-2,1000,3524.047385
-3,1000,3528.425403
-3,1000,3531.791074
-2,1000,3536.172385
-2,1000,3539.692581
-4,1000,3544.375326
-3,1000,3547.74467
-1,1000,3552.149444
-2,1000,3555.47855
-2,1000,3559.975915
-3,1000,3563.305498
-3,1000,3567.720397
-2,1000,3571.35923
-4,1000,3575.752844
-4,1000,3579.064287
-1,1000,3583.549591
-1,1000,3586.918983
-2,1000,3590.265854
-2,1000,3594.712756
1,1000,3598.082496
0,1000,3602.997046
-2,1000,3606.583177
