#{"t_start": 1619905634.891071, "env_id": null}
r,l,t
-5,1000,3292.545448
-1,1000,3296.4284
-2,1000,3300.164357
-4,1000,3304.334822
-1,1000,3308.171316
-4,1000,3312.002205
-2,1000,3315.796458
-3,1000,3319.56362
-3,1000,3323.416194
-2,1000,3327.949602
-4,1000,3332.027111
-3,1000,3335.953327
1,1000,3339.827205
-3,1000,3343.649303
-2,1000,3347.514593
-2,1000,3351.316382
0,1000,3355.139342
-4,1000,3358.899413
-1,1000,3362.972363
-5,1000,3366.878902
-1,1000,3370.669444
-2,1000,3374.521252
-3,1000,3378.358361
-1,1000,3382.167565
-1,1000,3386.010259
-1,1000,3389.949347
-4,1000,3394.051156
-4,1000,3397.849578
-2,1000,3401.638859
-2,1000,3405.530384
-3,1000,3409.355488
-2,1000,3413.155419
-2,1000,3416.939323
0,1000,3420.819419
0,1000,3424.866405
-2,1000,3428.655279
-5,1000,3432.555698
-1,1000,3436.386575
-2,1000,3440.186448
-3,1000,3444.023287
-2,1000,3447.815275
-7,1000,3451.681025
-3,1000,3455.643378
-3,1000,3459.398481
-4,1000,3463.163629
-2,1000,3466.944934
-5,1000,3470.713392
-3,1000,3474.507326
-6,1000,3478.295345
-4,1000,3482.23073
-3,1000,3486.086271
-6,1000,3489.946358
-2,1000,3493.819318
-2,1000,3497.57811
-3,1000,3501.356351
-4,1000,3505.124399
-3,1000,3508.912602
-1,1000,3513.047603
0,1000,3517.200399
-2,1000,3521.005369
-2,1000,3524.852446
-3,1000,3528.741632
-4,1000,3532.522421
-2,1000,3536.305394
-1,1000,3540.238297
-3,1000,3544.309849
-3,1000,3548.058468
-4,1000,3551.926532
-3,1000,3555.692553
-4,1000,3559.483298
-1,1000,3563.389398
-1,1000,3567.190527
-4,1000,3571.121559
-1,1000,3575.146255
-1,1000,3579.003163
-2,1000,3583.593349
-4,1000,3587.419461
-2,1000,3591.244867
-3,1000,3595.079551
-1,1000,3599.079286
-3,1000,3603.094169
-3,1000,3607.013381
-4,1000,3610.789429
-1,1000,3614.747779
-2,1000,3618.542387
0,1000,3622.373577
0,1000,3626.176537
-2,1000,3630.306456
-4,1000,3635.15344
-1,1000,3638.971394
-5,1000,3642.757577
-2,1000,3646.587189
-1,1000,3650.470329
-2,1000,3654.248137
-3,1000,3658.047682
-2,1000,3662.036473
-1,1000,3666.027712
-2,1000,3669.812797
-2,1000,3673.579645
0,1000,3677.360555
-2,1000,3681.146528
-2,1000,3685.043343
-2,1000,3688.881445
-2,1000,3692.854928
-1,1000,3696.694728
-5,1000,3700.480659
-1,1000,3704.381734
-3,1000,3708.210543
0,1000,3712.137475
-3,1000,3715.899678
-3,1000,3719.780491
-1,1000,3723.851373
-1,1000,3727.661536
-4,1000,3731.470521
-2,1000,3735.230814
-1,1000,3739.139645
-1,1000,3742.966772
-3,1000,3746.756515
