#{"t_start": 1620060548.79857, "env_id": null}
r,l,t
-3,1000,12595.786988
-4,1000,12600.478277
0,1000,12605.227251
-2,1000,12609.97428
0,1000,12614.6848
-4,1000,12619.311004
-2,1000,12623.965711
0,1000,12628.6032
-7,1000,12633.146179
-2,1000,12637.888308
-3,1000,12642.448442
-1,1000,12647.300414
-5,1000,12651.856161
-2,1000,12656.533612
-7,1000,12661.048623
-6,1000,12665.795528
-2,1000,12670.360922
-7,1000,12674.914085
-6,1000,12679.484312
-2,1000,12684.105506
-2,1000,12688.790372
-1,1000,12693.474042
-2,1000,12698.311274
-7,1000,12703.063588
-2,1000,12707.675664
-2,1000,12712.427077
-6,1000,12717.176362
-3,1000,12721.871081
-3,1000,12726.7156
-5,1000,12731.371124
-4,1000,12736.057922
-5,1000,12740.787274
-1,1000,12745.459567
-1,1000,12750.26506
-3,1000,12754.962646
-3,1000,12759.684021
-1,1000,12764.758926
-2,1000,12770.117082
-3,1000,12775.089014
-3,1000,12779.677208
-5,1000,12784.359651
-4,1000,12789.072984
-2,1000,12793.71938
-4,1000,12798.300113
-4,1000,12802.994394
-4,1000,12807.566408
-3,1000,12812.251449
-5,1000,12817.01222
-3,1000,12821.640005
-7,1000,12826.26722
-4,1000,12830.914572
-8,1000,12835.568569
1,1000,12840.182036
-3,1000,12844.833489
-1,1000,12849.530659
-7,1000,12854.087284
-2,1000,12858.933825
-6,1000,12863.550254
-4,1000,12868.136265
-2,1000,12872.875299
-6,1000,12877.651203
-1,1000,12882.329688
-4,1000,12886.966679
-2,1000,12891.581112
-5,1000,12896.143873
-9,1000,12900.730655
-5,1000,12905.530225
-1,1000,12910.243103
-3,1000,12914.928196
-3,1000,12919.63088
-11,1000,12924.176287
-6,1000,12928.734272
-3,1000,12933.285155
-7,1000,12938.003133
-7,1000,12942.531394
-9,1000,12947.058368
-4,1000,12951.592675
-1,1000,12956.412036
-6,1000,12960.99599
-2,1000,12965.670295
0,1000,12970.346152
-3,1000,12974.906233
-2,1000,12979.501069
-4,1000,12984.023613
-1,1000,12988.966103
-3,1000,12993.578573
-3,1000,12998.403808
-1,1000,13003.32909
0,1000,13008.188907
-1,1000,13012.791548
-2,1000,13017.390054
-4,1000,13022.037162
-4,1000,13027.087121
0,1000,13031.975236
-3,1000,13036.535006
-6,1000,13041.117193
-7,1000,13045.653865
-6,1000,13050.401067
-4,1000,13055.071127
-3,1000,13059.715021
-3,1000,13064.26157
-4,1000,13069.289633
-5,1000,13074.248428
-14,1000,13078.850891
-4,1000,13084.114897
-9,1000,13088.97867
-5,1000,13093.577082
-4,1000,13098.125361
-1,1000,13102.856271
0,1000,13107.427659
-3,1000,13112.144542
-2,1000,13116.864577
-3,1000,13121.426764
-1,1000,13126.009392
-4,1000,13130.574813
-3,1000,13135.16531
-1,1000,13139.906918
-3,1000,13144.707584
-3,1000,13149.344532
-3,1000,13153.922949
-3,1000,13158.49578
-1,1000,13163.442188
-2,1000,13168.066969
-3,1000,13172.668511
-2,1000,13177.471354
-2,1000,13182.181132
-2,1000,13186.798156
-3,1000,13191.402932
-2,1000,13196.173764
-2,1000,13201.050485
-4,1000,13205.792527
-3,1000,13210.402998
-1,1000,13215.002844
-2,1000,13219.607558
-3,1000,13224.272172
0,1000,13229.243186
-3,1000,13233.871198
-2,1000,13238.611783
-3,1000,13243.210731
-3,1000,13247.82502
-2,1000,13252.515142
0,1000,13257.163672
-2,1000,13261.771346
-2,1000,13266.470764
-2,1000,13271.276386
-1,1000,13275.887939
-2,1000,13280.489367
-1,1000,13285.10014
1,1000,13289.975977
-2,1000,13294.610581
-5,1000,13299.223366
-3,1000,13303.981169
-3,1000,13308.712196
-2,1000,13313.290654
-1,1000,13317.949332
-1,1000,13322.493389
-2,1000,13327.453777
-3,1000,13332.07848
-1,1000,13336.84718
-1,1000,13341.521098
-2,1000,13346.095171
-6,1000,13350.636942
-2,1000,13355.317559
-4,1000,13359.95581
-1,1000,13364.58231
-3,1000,13369.228415
-1,1000,13374.210503
-2,1000,13379.338976
-3,1000,13383.972044
-3,1000,13388.722175
-2,1000,13393.297623
-4,1000,13397.954638
-4,1000,13402.590814
-3,1000,13407.140455
-4,1000,13411.816055
-1,1000,13416.652435
-2,1000,13421.331254
-1,1000,13426.031818
-2,1000,13430.718341
-4,1000,13435.283636
-2,1000,13439.859525
-5,1000,13444.527625
-4,1000,13449.22199
-3,1000,13453.819871
-1,1000,13458.422405
-4,1000,13462.999441
-3,1000,13467.619987
-3,1000,13472.178359
0,1000,13477.002198
-5,1000,13481.612255
-2,1000,13486.164798
-1,1000,13490.847868
-5,1000,13495.433011
-2,1000,13500.176949
-1,1000,13504.823335
-3,1000,13509.518998
-4,1000,13514.153898
-2,1000,13518.854867
-2,1000,13523.440045
-2,1000,13527.937435
-3,1000,13532.560076
0,1000,13537.413704
-1,1000,13542.058107
-4,1000,13546.644795
0,1000,13551.248832
-2,1000,13555.98627
-2,1000,13560.565082
-2,1000,13565.247421
-2,1000,13569.938899
-3,1000,13574.518117
-5,1000,13579.104063
-5,1000,13583.740727
-5,1000,13588.242295
-2,1000,13592.852013
-5,1000,13597.57089
-1,1000,13602.185933
-5,1000,13607.124962
-2,1000,13611.690037
-2,1000,13616.27789
-3,1000,13621.041227
-6,1000,13625.712243
-3,1000,13630.323226
-3,1000,13635.017403
-2,1000,13639.794053
-4,1000,13644.393046
-3,1000,13649.129086
-4,1000,13653.7755
-2,1000,13658.529809
-1,1000,13663.189345
-4,1000,13667.827796
-3,1000,13672.455902
0,1000,13677.024939
-1,1000,13682.460998
0,1000,13687.147515
-6,1000,13691.748679
-1,1000,13696.303128
-6,1000,13700.825961
-2,1000,13705.519115
-3,1000,13710.160373
-3,1000,13714.824074
-4,1000,13719.429375
-1,1000,13724.155916
-4,1000,13728.666057
-8,1000,13733.218164
-4,1000,13737.83881
-3,1000,13742.368253
-3,1000,13747.168229
-3,1000,13751.724929
-1,1000,13756.35784
-1,1000,13760.983188
-4,1000,13765.57611
0,1000,13770.112911
-1,1000,13774.655228
-3,1000,13779.34306
-3,1000,13783.907274
-2,1000,13789.138599
-2,1000,13794.066866
-2,1000,13798.672001
-4,1000,13803.466954
-1,1000,13808.43893
-1,1000,13813.238374
-2,1000,13817.490172
-3,1000,13821.635375
-7,1000,13825.788069
0,1000,13829.928232
-2,1000,13833.975006
-2,1000,13838.277237
-1,1000,13842.356905
-2,1000,13846.445114
-1,1000,13850.691894
-1,1000,13854.790165
0,1000,13858.848163
-4,1000,13862.897116
-1,1000,13867.212318
1,1000,13871.318028
-1,1000,13875.434347
0,1000,13879.729758
0,1000,13883.88287
-4,1000,13887.939035
-5,1000,13892.009448
-3,1000,13896.239887
-3,1000,13900.263764
-4,1000,13904.477032
-2,1000,13908.546805
-1,1000,13912.681368
-3,1000,13916.828063
-4,1000,13921.052158
-1,1000,13925.33809
-5,1000,13929.465058
-3,1000,13933.556036
-2,1000,13937.608268
0,1000,13941.627889
-2,1000,13945.639029
-3,1000,13949.772732
-1,1000,13953.79903
-1,1000,13958.105871
-1,1000,13962.091029
-2,1000,13966.199949
-4,1000,13970.287865
-4,1000,13974.406873
-3,1000,13978.450305
-5,1000,13982.584019
-4,1000,13987.469066
-2,1000,13991.493254
-3,1000,13995.532053
-3,1000,13999.561914
-4,1000,14003.641049
-4,1000,14007.670651
-3,1000,14011.709809
-2,1000,14015.929406
-5,1000,14019.943821
-2,1000,14023.971488
-4,1000,14028.310869
-5,1000,14032.382894
-2,1000,14036.483346
-3,1000,14040.512198
-6,1000,14044.699025
0,1000,14048.953936
-1,1000,14053.006885
-1,1000,14058.024978
-1,1000,14062.804191
-2,1000,14067.655113
-1,1000,14072.391929
-3,1000,14077.32012
-3,1000,14082.128285
0,1000,14086.703071
-2,1000,14091.471406
-3,1000,14096.310175
-3,1000,14101.236979
-4,1000,14105.908007
-1,1000,14110.006736
-3,1000,14114.108121
-2,1000,14118.193469
0,1000,14122.436015
-5,1000,14126.440932
-1,1000,14130.524107
-1,1000,14134.674331
-2,1000,14138.7999
-1,1000,14142.836438
-3,1000,14146.850656
-1,1000,14150.859035
-2,1000,14154.896236
-2,1000,14158.902529
-3,1000,14162.888095
-4,1000,14167.118881
-2,1000,14171.107054
-1,1000,14175.099974
-1,1000,14179.123493
-1,1000,14183.116986
-1,1000,14187.125013
-3,1000,14191.06224
-2,1000,14195.187665
-1,1000,14199.276315
-2,1000,14203.442643
-2,1000,14207.599414
-2,1000,14211.662071
-2,1000,14215.705746
-2,1000,14219.685992
-2,1000,14224.131981
-3,1000,14228.420209
-2,1000,14232.416852
-3,1000,14236.426813
-2,1000,14240.460124
-1,1000,14244.614523
-2,1000,14248.999595
-3,1000,14253.15777
-1,1000,14257.377392
-3,1000,14261.404962
-2,1000,14265.440119
-3,1000,14269.470131
-2,1000,14273.510576
